"path","lines","classes[0].name","classes[0].functions.length"
"CoreSites/Common/Framework/EntityServiceFactory.php",57,"EntityServiceFactory",11
"CoreSites/Common/Framework/InternationalUrlFactory.php",13,"InternationalUrlFactory",1
"CoreSites/Common/Framework/PopUpTemplateInterface.php",5,"PopUpTemplateInterface",0
"CoreSites/Common/Framework/ShoppingCartCouponNames.php",6,"ShoppingCartCouponNames",1
"CoreSites/Common/Framework/SiteAbTestNames.php",9,"SiteAbTestNames",1
"CoreSites/Common/Framework/SiteAuthentication.php",166,"SiteAuthentication",14
"CoreSites/Common/Framework/SiteBaseUrl.php",36,"SiteBaseUrl",7
"CoreSites/Common/Framework/SiteCacheRedisConfiguration.php",11,"SiteCacheRedisConfiguration",2
"CoreSites/Common/Framework/SiteConfiguration.php",205,"SiteConfiguration",14
"CoreSites/Common/Framework/SiteConfigurationFactory.php",15,"SiteConfigurationFactory",1
"CoreSites/Common/Framework/SiteConfigurationLocator.php",225,"SiteConfigurationLocator",38
"CoreSites/Common/Framework/SiteConstants.php",284,"SiteConstants",73
"CoreSites/Common/Framework/SiteConstantsInterface.php",68,"SiteConstantsInterface",0
"CoreSites/Common/Framework/SiteConversionService.php",7,"SiteConversionService",1
"CoreSites/Common/Framework/SiteEnum.php",45,"SiteEnum",1
"CoreSites/Common/Framework/SiteEnvironment.php",118,"SiteEnvironment",21
"CoreSites/Common/Framework/SiteEnvironmentEnum.php",40,"SiteEnvironmentEnum",9
"CoreSites/Common/Framework/SiteEventServiceConfiguration.php",6,"SiteEventServiceConfiguration",1
"CoreSites/Common/Framework/SiteEventServiceConfigurationInterface.php",4,"SiteEventServiceConfigurationInterface",0
"CoreSites/Common/Framework/SiteFeatureFlagService.php",11,"SiteFeatureFlagService",2
"CoreSites/Common/Framework/SiteFeatureFlagServiceInterface.php",4,"SiteFeatureFlagServiceInterface",0
"CoreSites/Common/Framework/SiteFeatureLoggingMongoConfiguration.php",11,"SiteFeatureLoggingMongoConfiguration",2
"CoreSites/Common/Framework/SiteFreeTrialConfiguration.php",16,"SiteFreeTrialConfiguration",4
"CoreSites/Common/Framework/SiteFreeTrialConfigurationInterface.php",6,"SiteFreeTrialConfigurationInterface",0
"CoreSites/Common/Framework/SiteLanguage.php",76,"SiteLanguage",7
"CoreSites/Common/Framework/SiteLanguageEnum.php",15,"SiteLanguageEnum",0
"CoreSites/Common/Framework/SiteListenLoopConversationIds.php",9,"SiteListenLoopConversationIds",2
"CoreSites/Common/Framework/SiteMiddlewareService.php",24,"SiteMiddlewareService",2
"CoreSites/Common/Framework/SitePermissionNames.php",26,"SitePermissionNames",0
"CoreSites/Common/Framework/SitePromotionalOfferNames.php",41,"SitePromotionalOfferNames",12
"CoreSites/Common/Framework/SitePromotionalOfferNamesInterface.php",15,"SitePromotionalOfferNamesInterface",0
"CoreSites/Common/Framework/SiteStartup.php",23,"SiteStartup",3
"CoreSites/Common/Framework/SiteStaticMessages.php",92,"SiteStaticMessages",0
"CoreSites/Common/Framework/SiteUrl.php",38,"SiteUrl",5
"CoreSites/Common/Framework/SiteVisitorServiceInterface.php",4,"SiteVisitorServiceInterface",0
"CoreSites/Common/Framework/SiteWidgets.php",53,"SiteWidgets",15
"CoreSites/Common/Framework/SiteWidgetsInterface.php",19,"SiteWidgetsInterface",0
"CoreSites/Common/Framework/SiteWideMessagingServiceFactory.php",98,"SiteWideMessagingServiceFactory",5
"CoreSites/Common/Framework/TimeInSeconds.php",10,"TimeInSeconds",0
"CoreSites/Common/Framework/ValidatedFormParameters.php",29,"ValidatedFormParameters",3
"CoreSites/Common/Framework/VisitorAttributesNames.php",10,"VisitorAttributesNames",0
"CoreSites/Common/Logging/DebugLogger.php",35,"DebugLogger",4
"CoreSites/Common/Logging/FileLogger.php",26,"FileLogger",4
"CoreSites/Common/Logging/LogglyLogger.php",17,"LogglyLogger",2
"CoreSites/Common/Logging/NewRelicLogger.php",21,"NewRelicLogger",3
"CoreSites/Common/Logging/RaygunLogger.php",51,"RaygunLogger",5
"CoreSites/Common/Logging/SentryLogger.php",51,"SentryLogger",6
"CoreSites/Common/Messaging/DummySiteWideMessaging.php",60,"DummySiteWideMessaging",19
"CoreSites/Common/Messaging/SiteWideMessagingInterface.php",22,,
"CoreSites/Common/Messaging/SiteWideMessagingService.php",73,"SiteWideMessagingService",22
"CoreSites/Common/Modules/RouteTags.php",6,"RouteTags",0
"CoreSites/Common/Resque/CronResqueJob.php",60,"CronResqueJob",2
"CoreSites/Common/Resque/SiteResqueWorker.php",10,"SiteResqueWorker",1
"CoreSites/Common/Resque/StartResqueWorker.php",20,,
"CoreSites/Common/Resque/StartResqueWorkerUnitTest.php",18,,
"CoreSites/Common/Services/AdminAuthorizedIpsEntityService.php",12,"AdminAuthorizedIpsEntityService",2
"CoreSites/Common/Services/AdminMemberCommentsEntityService.php",8,"AdminMemberCommentsEntityService",1
"CoreSites/Common/Services/AdminPermissionsEntityService.php",14,"AdminPermissionsEntityService",2
"CoreSites/Common/Services/AdminUserEntityService.php",54,"AdminUserEntityService",5
"CoreSites/Common/Services/AutoLoginService.php",46,"AutoLoginService",4
"CoreSites/Common/Services/CampaignParsingService.php",58,"CampaignParsingService",9
"CoreSites/Common/Services/CcIinDatabaseEntityService.php",12,"CcIinDatabaseEntityService",2
"CoreSites/Common/Services/CommonFeatureFlagService.php",19,"CommonFeatureFlagService",3
"CoreSites/Common/Services/CommonSessionTrackerService.php",201,"CommonSessionTrackerService",25
"CoreSites/Common/Services/CronJobSchedulingService.php",84,"CronJobSchedulingService",9
"CoreSites/Common/Services/DevAlert.php",7,"DevAlert",0
"CoreSites/Common/Services/EmailPreferencesService.php",102,"EmailPreferencesService",6
"CoreSites/Common/Services/ExceptionLoggerService.php",24,"ExceptionLoggerService",3
"CoreSites/Common/Services/GitRevisionService.php",39,"GitRevisionService",5
"CoreSites/Common/Services/ImageService.php",108,"ImageService",6
"CoreSites/Common/Services/InProductMessagesEntityService.php",12,"InProductMessagesEntityService",2
"CoreSites/Common/Services/MemberPaymentRiskProfileService.php",130,"MemberPaymentRiskProfileService",6
"CoreSites/Common/Services/OrganizationsEntityService.php",13,"OrganizationsEntityService",2
"CoreSites/Common/Services/PlanEntityService.php",63,"PlanEntityService",12
"CoreSites/Common/Services/PopUpDTOFactory.php",54,"PopUpDTOFactory",5
"CoreSites/Common/Services/PromotionalOffersEntityService.php",81,"PromotionalOffersEntityService",8
"CoreSites/Common/Services/RiskProfileService.php",36,"RiskProfileService",4
"CoreSites/Common/Services/SiteMapService.php",257,"SiteMapService",26
"CoreSites/Common/Services/SiteOAuthService.php",105,"SiteOAuthService",8
"CoreSites/Common/Services/SiteShortUrlsEntityService.php",50,"SiteShortUrlsEntityService",7
"CoreSites/Common/Services/SiteUnsubscribesEntityService.php",26,"SiteUnsubscribesEntityService",3
"CoreSites/Common/Services/StockItemActivityService.php",34,"StockItemActivityService",3
"CoreSites/Common/Services/StockItemDetailsSEOService.php",8,"StockItemDetailsSEOService",1
"CoreSites/Common/Services/StockItemDownloadOptionsService.php",49,"StockItemDownloadOptionsService",4
"CoreSites/Common/Services/StockItemSamplesEntityService.php",13,"StockItemSamplesEntityService",2
"CoreSites/Common/Services/StockLibrariesEntityService.php",28,"StockLibrariesEntityService",4
"CoreSites/Common/Services/SurveyQuestionsEntityService.php",12,"SurveyQuestionsEntityService",2
"CoreSites/Common/Services/SurveyResponseOptionsEntityService.php",17,"SurveyResponseOptionsEntityService",2
"CoreSites/Common/Services/SurveyResponsesEntityService.php",19,"SurveyResponsesEntityService",2
"CoreSites/Common/Services/TaxTreatyWithholdingsEntityService.php",36,"TaxTreatyWithholdingsEntityService",4
"CoreSites/Common/Services/TransactionService.php",25,"TransactionService",3
"CoreSites/Common/Services/UnsubscribeReasonsEntityService.php",11,"UnsubscribeReasonsEntityService",2
"CoreSites/Common/Services/VatWithholdingsEntityService.php",32,"VatWithholdingsEntityService",4
"CoreSites/Common/Services/_AdminUserPermissionsEntityService.php",23,"_AdminUserPermissionsEntityService",3
"CoreSites/Common/Services/_PlanTypeDescriptionsPrivateEntityService.php",11,"_PlanTypeDescriptionsPrivateEntityService",2
"CoreSites/Common/Widgets/FormInputWidgetInterface.php",4,,
